utteranceID,Group,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
Group_01_0,Group_01,,,,,,,,,,,,,,,,,,,,29.396194,0.33828002,14.892636,33.875412,37.278744,22.386108,862.48706,983.0416,63.726864,52.812996,0.27412972,0.7949348,0.123700164,0.20363106,0.36614916,0.24244899,3.1124659,2.290912,2.6882164,2.20699,0.11413644,0.8520607,22.000206,0.4404439,11.625559,1.0266364,12.471546,0.72758836,-6.6506186,-2.452583,0.05104943,2.0770988,1.1256762,0.62260956,3.09146,2.337315,7.1514754,2.9250047,23.514091,0.5640815,502.92426,0.29869124,1156.2949,0.17073949,-77.29065,-1.1340846,1635.241,0.13252339,850.69836,0.5639778,-86.53985,-0.8953077,2680.089,0.10199161,768.4918,0.43419144,-87.15827,-0.8807328,-17.62289,-0.2857812,24.515156,0.3071837,0.012988597,2.629898,-0.02657011,-0.435329,0.14230673,0.78579044,26.076118,0.31233916,9.053426,1.4010789,11.703502,0.86276037,-12.987155,-1.2816628,-13.438073,19.523327,-0.024560813,-0.01344113,0.06503467,2.7027028,3.8356166,0.15428571,0.14509673,0.067058824,0.05277752,-38.94754
Group_01_1,Group_01,,,,,,,,,,,,,,,,,,,,30.775328,0.24853586,24.178246,34.229862,37.081966,12.903721,451.61176,301.01318,48.14769,50.26961,0.3139785,0.94887257,0.14562412,0.23812282,0.34610906,0.20048495,5.4448357,9.317708,3.0377178,2.4421918,0.16718182,1.3443826,22.311434,0.37672374,13.559453,0.8396455,8.501179,1.8900476,-3.690451,-3.8136277,0.07340037,1.4231906,1.5424249,0.4853568,2.9378788,1.5321137,8.344542,1.9523766,23.597794,0.5638303,559.56995,0.35352975,1197.1089,0.18448181,-75.47637,-1.223683,1707.3246,0.122336,812.725,0.55976135,-85.0197,-0.9622047,2793.7947,0.08402781,788.46436,0.4812947,-86.52632,-0.9339946,-15.752171,-0.37423956,24.50522,0.27749333,0.031721603,0.7894238,-0.020876639,-0.5666226,0.21488084,1.2568575,26.328102,0.26919466,9.927355,1.0687699,11.783512,1.5012935,-10.744409,-1.0935326,-15.259068,24.458977,-0.00577434,-0.010575263,0.08952632,1.9354839,3.2786887,0.186,0.14340153,0.121249996,0.084474474,-35.875492
Group_01_2,Group_01,,,,,,,,,,,,,,,,,,,,30.855858,0.2171277,30.538017,32.88437,34.33497,3.7969513,385.6906,497.32388,155.08926,182.73831,0.30255502,0.47604343,0.18075451,0.27365056,0.39287663,0.21212211,3.0412414,2.2261376,2.1594725,1.444435,0.1266029,0.59874755,23.332964,0.4130055,8.42118,1.5162851,9.755125,1.5136684,-6.246421,-1.9810084,0.06110973,2.0564544,1.4167906,0.5661406,3.3143306,1.5403336,8.51884,1.961128,22.48011,0.3738723,454.95395,0.34338441,1205.0273,0.19314398,-56.687622,-1.519577,1583.2498,0.1329201,844.8515,0.48780268,-62.44256,-1.1992226,2588.462,0.09844128,819.95233,0.36169145,-64.098915,-1.1505806,-15.022809,-0.3154029,23.09898,0.27331942,0.028558588,1.0817208,-0.019898087,-0.4042286,0.14434522,0.5398387,25.743734,0.3310142,6.3430996,2.0890598,11.441524,1.2900776,-8.110721,-1.5598364,-12.723106,19.8831,0.003094347,-0.015092831,0.07819511,4.0776696,2.357564,0.31083333,0.19448473,0.08692307,0.06556085,-42.59125
Group_01_3,Group_01,,,,,,,,,,,,,,,,,,,,22.811703,0.38455403,13.824329,19.92636,31.891285,18.066956,470.54306,792.8246,67.33814,52.82588,0.17540458,0.5046763,0.10532366,0.13661724,0.22448319,0.119159535,1.1951381,0.47095895,0.7689358,0.20221424,0.06864813,0.36040178,22.835192,0.32093462,12.688676,0.74835366,7.6585526,1.179107,0.10857671,114.35629,0.056112457,2.5538552,0.8176844,0.58092904,0.52882856,12.654176,-1.4206239,-8.965137,20.937063,0.62238955,548.8032,0.26078314,1246.6327,0.15103364,-89.83382,-0.97313577,1651.8556,0.098383784,845.4718,0.20257923,-97.9993,-0.82416326,2834.102,0.07585987,762.51447,0.4946083,-100.93888,-0.77518415,-17.877241,-0.24855365,26.440397,0.21832418,-0.005978494,-4.8894067,-0.020747647,-0.54801303,0.07315271,0.33820456,26.239471,0.25338295,10.3817215,1.0454619,8.015095,1.2383474,-3.7472894,-3.7884324,-16.764637,25.83349,-0.02649795,-0.008921155,0.06465559,2.4038463,3.960396,0.13374999,0.15491429,0.09375,0.05048205,-48.73112
Group_01_4,Group_01,,,,,,,,,,,,,,,,,,,,31.47288,0.19577241,29.57241,34.13207,35.981796,6.4093857,284.02914,223.52554,63.05342,90.29661,0.32105383,0.4835546,0.18373919,0.2889823,0.45994315,0.27620396,3.7724807,1.7141045,2.7216063,1.1428518,0.13496797,0.60922295,23.215187,0.4218145,9.3481455,1.5831704,10.969612,1.3639636,-9.03018,-2.1267326,0.0500733,1.8604124,1.3378109,0.5490466,3.6877503,1.4674278,7.4265847,1.6868514,22.597113,0.44498068,432.83206,0.370238,1154.8129,0.19484954,-58.72999,-1.4290129,1514.9198,0.16278125,733.1354,0.4646389,-60.739864,-1.2027804,2666.885,0.086929284,694.9281,0.6312041,-64.88961,-1.0885769,-14.140051,-0.40136987,23.385715,0.31267467,0.03802565,0.8994922,-0.018414317,-0.4938002,0.15847294,0.5034015,26.215803,0.30869702,6.568311,2.065519,12.234474,1.3322906,-14.47692,-1.2307428,-13.475451,20.033075,-0.006687878,-0.012391828,0.06729006,3.9755352,2.1875002,0.34,0.29384154,0.105,0.060759086,-41.392864
Group_01_5,Group_01,,,,,,,,,,,,,,,,,,,,15.030078,0.108073555,13.031622,15.437543,16.341438,3.3098164,63.265114,53.641117,139.56024,100.71059,0.16783129,0.32029128,0.12605816,0.15486135,0.18401243,0.057954267,2.683382,1.9607944,1.1375304,0.6710113,0.06544236,0.47358748,17.491928,0.19109465,10.108021,0.36267975,10.062874,0.37813953,4.632192,1.0661179,0.08383237,5.13E-08,0.8238125,0.8343119,-5.338109,-0.5288117,4.1262164,1.2302297,20.849749,0.115699425,539.9161,0.28138128,1293.4352,0.08943299,-135.16617,-0.59496415,1555.7849,0.084166475,1117.2196,0.29420698,-137.44963,-0.56604654,2641.772,0.0655637,817.15027,0.2761446,-138.84094,-0.54762745,-12.397946,-0.23349784,22.133072,0.16080928,-0.025719877,-0.67162204,-0.004496352,-1.388215,0.07179268,0.5267417,17.213018,0.21880607,9.135103,0.49809378,9.724217,0.27437162,5.590715,0.8131319,-14.873237,23.352648,-0.02064306,-0.009489725,0.06533263,2.6666667,5.882353,0.0525,0.019202864,0.12666667,0.12256517,-52.312702
Group_01_6,Group_01,,,,,,,,,,,,,,,,,,,,28.253956,0.22050275,24.40768,31.604052,32.37021,7.962528,95.16635,91.18133,44.873108,7.7928944,0.28262675,0.5672261,0.12415985,0.22388577,0.46268323,0.3385234,1.567909,0.63645875,1.7074467,0.6336011,0.108278625,0.6778133,22.28023,0.31294113,6.1669283,1.5448557,0.21177313,43.541363,-6.714948,-1.9820874,0.024939029,2.211365,1.3895491,0.76753515,2.710985,2.365294,-2.667525,-2.5363028,20.977545,0.34862378,486.73608,0.33153614,1069.5308,0.1575688,-107.62702,-0.8815226,1502.5876,0.16052856,873.63116,0.18690167,-112.34535,-0.803128,2660.5825,0.09065856,809.0506,0.515902,-116.460594,-0.7362067,-14.824272,-0.24319097,26.125647,0.18165965,0.023396509,1.0239499,-0.023404598,-0.2839545,0.15481205,0.51926327,27.125923,0.23728104,2.7122395,3.8656042,-5.344867,-1.5245609,-16.741505,-0.5351608,-13.651076,22.065897,-0.016660767,-0.00985643,0.071472734,2.027027,2.7972028,0.1575,0.098075226,0.14199999,0.11788128,-42.79251
Group_01_7,Group_01,,,,,,,,,,,,,,,,,,,,32.598625,0.18197802,31.871708,33.1698,36.145073,4.273365,228.63135,275.31003,35.476357,16.096106,0.3462011,0.5243568,0.19103767,0.3090008,0.51095015,0.3199125,3.2562327,2.0586057,2.0682776,0.931115,0.14119484,0.6271967,24.325377,0.3642337,5.620765,2.350043,7.0779223,2.0479887,-11.915896,-1.2078439,0.018335475,1.387845,1.1797439,0.4925392,4.832069,1.0681733,3.2382689,2.780974,21.370333,0.33934918,429.03522,0.24736015,1177.6578,0.16297069,-55.760513,-1.5437582,1503.6644,0.12474399,865.6892,0.43095893,-58.95412,-1.2331847,2569.3223,0.0963164,779.5834,0.4358491,-61.958298,-1.1490836,-13.7338,-0.28999767,21.990883,0.27278382,0.030212993,0.98924047,-0.023579247,-0.3732175,0.1655218,0.5464471,26.35268,0.28373492,1.8366427,6.812563,8.287257,1.8872135,-15.901482,-0.83970654,-14.864562,24.131556,-0.010932814,-0.014564471,0.07451981,3.8709679,3.642384,0.19727272,0.21834464,0.07,0.034641016,-41.416363
Group_01_8,Group_01,,,,,,,,,,,,,,,,,,,,16.79499,0.3247115,13.03097,15.302021,19.167675,6.1367054,161.26155,101.55574,352.2058,362.74387,0.14934249,0.50425327,0.098985575,0.11683199,0.18487945,0.08589388,2.9734666,2.1924903,-0.1826098,0.95868015,0.06519818,0.39861983,18.921515,0.3260962,13.396177,0.7526651,10.454027,0.6377042,5.6263914,1.3897461,0.058744088,1.2073529,1.9181515,0.77983475,-4.5345383,-0.99091315,6.6311145,4.615935,20.481041,0.27614224,429.91397,0.22600216,1217.8402,0.15548182,-133.2906,-0.542684,1501.7095,0.06398504,871.8456,0.26807103,-138.14883,-0.48569527,2632.9104,0.05602632,901.7576,0.5370948,-138.78717,-0.47703856,-18.274954,-0.28250948,27.418644,0.19280183,-0.02398479,-0.9087432,-0.009976828,-0.420802,0.06749402,0.29686898,21.228216,0.24996418,14.688795,0.5804624,9.98456,0.8339983,5.8738904,1.6877553,-15.910598,24.105913,-0.029881908,-0.008184182,0.063577354,2.5641026,5.7894735,0.047272723,0.022998383,0.13125,0.06622641,-51.704487
Group_01_9,Group_01,,,,,,,,,,,,,,,,,,,,32.897095,0.2626583,28.271132,34.533215,39.093346,10.822214,360.04422,528.61584,234.00027,450.09625,0.57368106,0.8252683,0.2230522,0.423269,0.85090417,0.62785196,11.987014,10.865155,5.6355357,4.5540237,0.33621594,1.2993984,18.928986,0.5595819,5.487516,2.1856797,8.275641,1.6606472,-3.9983325,-3.923243,0.05547706,2.1405683,1.3689924,0.7203791,4.324268,1.4612293,5.990088,2.9738667,15.741363,1.0479519,528.02673,0.39362422,1172.5671,0.19899806,-93.52527,-0.9965987,1623.0271,0.14834526,807.0587,0.4770444,-87.88793,-0.94567835,2657.5562,0.09365265,814.3468,0.39816204,-88.58993,-0.92987174,-13.831528,-0.4273135,22.101894,0.30377334,0.020734126,2.1465685,-0.01835458,-0.6486253,0.43159193,1.1961367,22.843359,0.42751735,3.7977607,3.3522747,10.02255,1.4908173,-9.761895,-1.612079,-11.68279,20.506422,-0.025490014,-0.008106113,0.19207495,2.4072218,3.1376517,0.18580644,0.16968231,0.1084375,0.13086513,-31.573145
